node_id,timestamp,packet_count,battery_level,error_rate,signal_strength,transmission_delay,status,anomaly_score,is_anomaly,explanation
Node_3,2026-05-21 08:10:53,210,88.96,0.086,-62.1,15.1,suspicious_activity,-0.0106,True,Node_3 normalden fazla veri gönderdiği için şüpheli aktivite olarak işaretlendi.
Node_4,2026-05-21 08:10:53,15,91.26,0.011,-62.9,19.8,normal,-0.09,False,
Node_2,2026-05-21 08:10:53,35,82.84,0.555,-74.5,56.9,communication_error,0.0201,True,Node_2 yüksek hata oranı nedeniyle iletişim problemi olarak işaretlendi.
Node_1,2026-05-21 08:10:53,36,77.48,0.02,-57.4,20.6,normal,-0.1722,False,
Node_5,2026-05-21 08:10:53,23,92.14,0.079,-57.4,24.7,normal,-0.1292,False,
Node_10,2026-05-21 08:11:13,29,94.82,0.026,-46.5,16.6,normal,-0.1099,False,
Node_9,2026-05-21 08:11:13,9,70.62,0.248,-59.1,263.6,packet_loss,0.0084,True,Node_9 yüksek iletim gecikmesi nedeniyle paket kaybı riski taşıyor.
Node_8,2026-05-21 08:11:13,39,81.36,0.058,-60.4,22.4,normal,-0.1727,False,
Node_7,2026-05-21 08:11:13,28,70.02,0.029,-56.7,5.7,normal,-0.1764,False,
Node_6,2026-05-21 08:11:13,32,69.95,0.018,-61.0,23.9,normal,-0.1791,False,
Node_4,2026-05-21 08:11:13,40,91.04,0.011,-61.7,5.6,normal,-0.1039,False,
Node_3,2026-05-21 08:11:13,329,88.88,0.055,-66.8,28.7,suspicious_activity,0.0558,True,Node_3 normalden fazla veri gönderdiği için şüpheli aktivite olarak işaretlendi.
Node_2,2026-05-21 08:11:13,27,82.69,0.054,-58.8,22.6,normal,-0.1858,False,
Node_1,2026-05-21 08:11:13,22,77.35,0.016,-60.2,9.2,normal,-0.1663,False,
Node_5,2026-05-21 08:11:13,13,9.02,0.088,-77.7,45.5,energy_drop,-0.0006,True,Node_5 pil seviyesinde ani düşüş olduğu için enerji anomalisi tespit edildi.
Node_7,2026-05-21 08:11:33,27,69.84,0.014,-53.1,13.9,normal,-0.1857,False,
Node_10,2026-05-21 08:11:33,29,94.74,0.048,-64.4,22.3,normal,-0.1168,False,
Node_9,2026-05-21 08:11:33,40,70.41,0.028,-53.6,16.7,normal,-0.1846,False,
Node_8,2026-05-21 08:11:33,38,81.19,0.035,-45.7,13.2,normal,-0.1438,False,
Node_6,2026-05-21 08:11:33,3,34.31,0.679,-51.6,252.5,node_failure,0.0205,True,Node_6 düğüm arızası olasılığı nedeniyle riskli olarak işaretlendi.
Node_3,2026-05-21 08:11:33,323,88.78,0.108,-50.7,16.6,suspicious_activity,0.059,True,Node_3 normalden fazla veri gönderdiği için şüpheli aktivite olarak işaretlendi.
Node_4,2026-05-21 08:11:33,20,90.97,0.067,-58.7,20.7,normal,-0.1559,False,
Node_1,2026-05-21 08:11:33,28,77.18,0.046,-55.0,21.8,normal,-0.192,False,
Node_5,2026-05-21 08:11:33,20,6.33,0.032,-66.4,44.0,energy_drop,-0.0767,True,Node_5 pil seviyesinde ani düşüş olduğu için enerji anomalisi tespit edildi.
Node_2,2026-05-21 08:11:33,41,82.48,0.022,-54.1,23.3,normal,-0.1659,False,
Node_1,2026-05-21 08:11:53,35,77.05,0.023,-55.4,21.3,normal,-0.1846,False,
Node_2,2026-05-21 08:11:53,14,82.24,0.577,-58.9,49.2,communication_error,-0.0155,True,Node_2 yüksek hata oranı nedeniyle iletişim problemi olarak işaretlendi.
Node_3,2026-05-21 08:11:53,281,88.7,0.121,-54.4,35.6,suspicious_activity,0.0501,True,Node_3 normalden fazla veri gönderdiği için şüpheli aktivite olarak işaretlendi.
Node_4,2026-05-21 08:11:53,32,90.79,0.069,-45.1,5.1,normal,-0.0768,False,
Node_6,2026-05-21 08:11:53,5,36.14,0.602,-67.9,482.5,node_failure,0.0635,True,Node_6 düğüm arızası olasılığı nedeniyle riskli olarak işaretlendi.
Node_7,2026-05-21 08:11:53,34,69.65,0.055,-61.1,21.0,normal,-0.2003,False,
Node_8,2026-05-21 08:11:53,22,81.09,0.078,-59.7,18.6,normal,-0.1713,False,
Node_9,2026-05-21 08:11:53,20,70.16,0.056,-50.3,22.1,normal,-0.1967,False,
Node_10,2026-05-21 08:11:53,26,94.64,0.048,-60.3,14.7,normal,-0.1414,False,
Node_5,2026-05-21 08:11:53,41,91.59,0.012,-63.1,15.4,normal,-0.1045,False,
Node_10,2026-05-21 08:12:13,26,94.46,0.035,-47.5,10.7,normal,-0.1282,False,
Node_7,2026-05-21 08:12:13,31,69.59,0.053,-48.7,18.0,normal,-0.1996,False,
Node_9,2026-05-21 08:12:13,42,70.08,0.059,-62.0,23.0,normal,-0.1808,False,
Node_8,2026-05-21 08:12:13,39,80.85,0.02,-49.2,20.9,normal,-0.1611,False,
Node_6,2026-05-21 08:12:13,17,69.73,0.055,-56.2,17.3,normal,-0.1915,False,
Node_4,2026-05-21 08:12:13,30,90.59,0.032,-53.7,10.6,normal,-0.1546,False,
Node_3,2026-05-21 08:12:13,29,88.54,0.025,-61.9,14.4,normal,-0.164,False,
Node_2,2026-05-21 08:12:13,21,82.11,0.375,-78.8,64.1,communication_error,0.0135,True,Node_2 yüksek hata oranı nedeniyle iletişim problemi olarak işaretlendi.
Node_1,2026-05-21 08:12:13,30,76.84,0.019,-52.0,10.9,normal,-0.1728,False,
Node_5,2026-05-21 08:12:13,26,6.94,0.088,-79.3,48.4,energy_drop,0.0186,True,Node_5 pil seviyesinde ani düşüş olduğu için enerji anomalisi tespit edildi.
Node_10,2026-05-21 08:12:33,22,94.38,0.056,-53.2,22.0,normal,-0.1311,False,
Node_9,2026-05-21 08:12:33,13,69.99,0.299,-52.0,144.7,packet_loss,-0.0138,True,Node_9 yüksek iletim gecikmesi nedeniyle paket kaybı riski taşıyor.
Node_8,2026-05-21 08:12:33,29,80.74,0.031,-53.4,20.6,normal,-0.1863,False,
Node_7,2026-05-21 08:12:33,43,69.43,0.049,-52.0,11.9,normal,-0.1891,False,
Node_6,2026-05-21 08:12:33,5,13.75,0.901,-65.6,318.2,node_failure,0.05,True,Node_6 düğüm arızası olasılığı nedeniyle riskli olarak işaretlendi.
Node_5,2026-05-21 08:12:33,19,14.68,0.056,-63.7,45.6,energy_drop,-0.0895,True,Node_5 pil seviyesinde ani düşüş olduğu için enerji anomalisi tespit edildi.
Node_3,2026-05-21 08:12:33,31,88.46,0.044,-50.2,5.9,normal,-0.1475,False,
Node_2,2026-05-21 08:12:33,31,81.93,0.558,-50.5,70.3,communication_error,0.0104,True,Node_2 yüksek hata oranı nedeniyle iletişim problemi olarak işaretlendi.
Node_1,2026-05-21 08:12:33,21,76.77,0.011,-47.3,18.9,normal,-0.1509,False,
Node_4,2026-05-21 08:12:33,40,90.48,0.061,-51.5,19.7,normal,-0.1476,False,
Node_7,2026-05-21 08:12:53,15,69.34,0.032,-59.1,6.3,normal,-0.159,False,
Node_10,2026-05-21 08:12:53,36,94.26,0.079,-55.8,18.6,normal,-0.1209,False,
Node_9,2026-05-21 08:12:53,14,69.9,0.209,-75.1,208.7,packet_loss,-0.0,True,Node_9 yüksek iletim gecikmesi nedeniyle paket kaybı riski taşıyor.
Node_8,2026-05-21 08:12:53,44,80.52,0.049,-55.6,5.0,normal,-0.1495,False,
Node_6,2026-05-21 08:12:53,1,39.42,0.909,-65.0,292.2,node_failure,0.0469,True,Node_6 düğüm arızası olasılığı nedeniyle riskli olarak işaretlendi.
Node_3,2026-05-21 08:12:53,17,88.33,0.078,-62.0,7.7,normal,-0.1376,False,
Node_4,2026-05-21 08:12:53,20,90.3,0.071,-47.1,21.1,normal,-0.1331,False,
Node_1,2026-05-21 08:12:53,15,76.65,0.041,-46.9,10.3,normal,-0.1339,False,
Node_5,2026-05-21 08:12:53,15,91.26,0.028,-47.7,16.4,normal,-0.1046,False,
Node_2,2026-05-21 08:12:53,26,81.75,0.686,-76.0,73.8,communication_error,0.0498,True,Node_2 yüksek hata oranı nedeniyle iletişim problemi olarak işaretlendi.
Node_1,2026-05-21 08:13:13,30,76.6,0.013,-61.9,13.9,normal,-0.1734,False,
Node_2,2026-05-21 08:13:13,38,81.57,0.016,-47.5,5.5,normal,-0.1245,False,
Node_3,2026-05-21 08:13:13,184,88.14,0.095,-68.0,17.9,suspicious_activity,0.0011,True,Node_3 normalden fazla veri gönderdiği için şüpheli aktivite olarak işaretlendi.
Node_4,2026-05-21 08:13:13,15,90.13,0.042,-50.1,24.9,normal,-0.1112,False,
Node_5,2026-05-21 08:13:13,17,10.9,0.079,-66.1,27.9,energy_drop,-0.0923,True,Node_5 pil seviyesinde ani düşüş olduğu için enerji anomalisi tespit edildi.
Node_6,2026-05-21 08:13:13,1,14.54,0.708,-73.1,209.5,node_failure,0.0479,True,Node_6 düğüm arızası olasılığı nedeniyle riskli olarak işaretlendi.
Node_7,2026-05-21 08:13:13,32,69.21,0.023,-49.3,23.6,normal,-0.1856,False,
Node_8,2026-05-21 08:13:13,17,80.43,0.038,-54.7,12.3,normal,-0.1676,False,
Node_9,2026-05-21 08:13:13,24,69.7,0.264,-74.6,276.4,packet_loss,0.0341,True,Node_9 yüksek iletim gecikmesi nedeniyle paket kaybı riski taşıyor.
Node_10,2026-05-21 08:13:13,37,94.19,0.056,-57.8,18.3,normal,-0.1319,False,
Node_7,2026-05-21 08:13:33,33,69.03,0.088,-72.3,19.1,node_silence,-0.1207,True,Node_7 uzun süre veri göndermediği için sessizlik anomalisi oluştu.
Node_10,2026-05-21 08:13:33,45,94.11,0.077,-54.4,16.7,normal,-0.106,False,
Node_9,2026-05-21 08:13:33,20,69.59,0.022,-50.0,7.0,normal,-0.1727,False,
Node_8,2026-05-21 08:13:33,20,80.28,0.041,-64.8,11.3,normal,-0.1619,False,
Node_6,2026-05-21 08:13:33,2,38.31,0.668,-64.3,338.4,node_failure,0.0126,True,Node_6 düğüm arızası olasılığı nedeniyle riskli olarak işaretlendi.
Node_5,2026-05-21 08:13:33,34,90.96,0.028,-56.4,16.2,normal,-0.1483,False,
Node_4,2026-05-21 08:13:33,30,90.06,0.035,-64.6,6.6,normal,-0.1211,False,
Node_3,2026-05-21 08:13:33,188,88.02,0.098,-78.4,23.3,suspicious_activity,0.0451,True,Node_3 normalden fazla veri gönderdiği için şüpheli aktivite olarak işaretlendi.
Node_2,2026-05-21 08:13:33,21,81.35,0.014,-51.6,18.4,normal,-0.166,False,
Node_1,2026-05-21 08:13:33,34,76.37,0.054,-61.6,12.4,normal,-0.1909,False,
Node_10,2026-05-21 08:13:53,36,93.88,0.052,-61.3,12.7,normal,-0.1311,False,
Node_9,2026-05-21 08:13:53,27,69.51,0.025,-63.4,20.5,normal,-0.1915,False,
Node_8,2026-05-21 08:13:53,41,80.08,0.056,-64.8,5.9,normal,-0.1365,False,
Node_7,2026-05-21 08:13:53,23,68.85,0.011,-60.2,22.0,normal,-0.1829,False,
Node_6,2026-05-21 08:13:53,1,27.92,0.779,-60.8,230.0,node_failure,0.0249,True,Node_6 düğüm arızası olasılığı nedeniyle riskli olarak işaretlendi.
Node_5,2026-05-21 08:13:53,28,90.86,0.023,-60.1,15.6,normal,-0.1471,False,
Node_4,2026-05-21 08:13:53,37,89.96,0.05,-53.4,22.7,normal,-0.1424,False,
Node_3,2026-05-21 08:13:53,333,87.91,0.073,-66.6,24.9,suspicious_activity,0.0472,True,Node_3 normalden fazla veri gönderdiği için şüpheli aktivite olarak işaretlendi.
Node_2,2026-05-21 08:13:53,13,81.2,0.517,-69.0,30.8,communication_error,-0.021,True,Node_2 yüksek hata oranı nedeniyle iletişim problemi olarak işaretlendi.
Node_1,2026-05-21 08:13:53,16,76.17,0.051,-56.0,18.3,normal,-0.1726,False,
Node_9,2026-05-21 08:14:13,9,69.31,0.323,-76.9,165.7,packet_loss,0.0178,True,Node_9 yüksek iletim gecikmesi nedeniyle paket kaybı riski taşıyor.
Node_8,2026-05-21 08:14:13,35,79.85,0.067,-47.5,24.4,normal,-0.1638,False,
Node_7,2026-05-21 08:14:13,24,68.69,0.015,-54.3,8.7,normal,-0.1844,False,
Node_10,2026-05-21 08:14:13,37,93.7,0.065,-55.6,24.9,normal,-0.1166,False,
Node_6,2026-05-21 08:14:13,0,38.71,0.879,-65.8,221.7,node_failure,0.0358,True,Node_6 düğüm arızası olasılığı nedeniyle riskli olarak işaretlendi.
Node_4,2026-05-21 08:14:13,27,89.79,0.065,-56.9,24.0,normal,-0.158,False,
Node_1,2026-05-21 08:14:13,21,76.05,0.016,-55.7,10.2,normal,-0.1715,False,
Node_5,2026-05-21 08:14:13,29,90.62,0.049,-48.6,12.2,normal,-0.1451,False,
Node_3,2026-05-21 08:14:13,224,87.72,0.057,-54.9,14.2,suspicious_activity,-0.0345,True,Node_3 normalden fazla veri gönderdiği için şüpheli aktivite olarak işaretlendi.
Node_2,2026-05-21 08:14:13,41,81.15,0.021,-47.3,21.6,normal,-0.1478,False,
Node_10,2026-05-21 08:14:33,43,93.49,0.071,-59.1,21.0,normal,-0.1168,False,
Node_9,2026-05-21 08:14:33,24,69.19,0.025,-57.8,15.0,normal,-0.2002,False,
Node_8,2026-05-21 08:14:33,15,79.72,0.074,-50.8,19.1,normal,-0.1549,False,
Node_6,2026-05-21 08:14:33,3,28.69,0.783,-72.2,207.2,node_failure,0.0125,True,Node_6 düğüm arızası olasılığı nedeniyle riskli olarak işaretlendi.
Node_7,2026-05-21 08:14:33,44,68.58,0.054,-57.8,23.5,normal,-0.1839,False,
Node_4,2026-05-21 08:14:33,19,89.58,0.034,-54.8,5.7,normal,-0.1298,False,
Node_3,2026-05-21 08:14:33,243,87.54,0.12,-64.1,11.3,suspicious_activity,0.0296,True,Node_3 normalden fazla veri gönderdiği için şüpheli aktivite olarak işaretlendi.
Node_2,2026-05-21 08:14:33,32,80.95,0.039,-49.9,17.1,normal,-0.1899,False,
Node_1,2026-05-21 08:14:33,26,75.93,0.075,-48.4,24.2,normal,-0.1735,False,
Node_5,2026-05-21 08:14:33,26,90.44,0.035,-56.7,8.3,normal,-0.1512,False,
Node_10,2026-05-21 08:14:53,40,93.25,0.017,-45.9,8.0,normal,-0.0697,False,
Node_9,2026-05-21 08:14:53,22,69.04,0.016,-50.3,17.9,normal,-0.1881,False,
Node_8,2026-05-21 08:14:53,28,79.53,0.074,-53.3,10.9,normal,-0.1812,False,
Node_7,2026-05-21 08:14:53,30,68.34,0.071,-77.9,22.3,node_silence,-0.0874,True,Node_7 uzun süre veri göndermediği için sessizlik anomalisi oluştu.
Node_6,2026-05-21 08:14:53,22,68.56,0.029,-47.0,12.8,normal,-0.177,False,
Node_5,2026-05-21 08:14:53,12,6.29,0.042,-79.1,35.7,energy_drop,0.0079,True,Node_5 pil seviyesinde ani düşüş olduğu için enerji anomalisi tespit edildi.
Node_3,2026-05-21 08:14:53,24,87.4,0.066,-57.3,23.1,normal,-0.1752,False,
Node_2,2026-05-21 08:14:53,35,80.79,0.56,-73.0,63.7,communication_error,0.0139,True,Node_2 yüksek hata oranı nedeniyle iletişim problemi olarak işaretlendi.
Node_1,2026-05-21 08:14:53,26,75.85,0.069,-60.7,5.1,normal,-0.1666,False,
Node_4,2026-05-21 08:14:53,18,89.39,0.076,-61.4,23.0,normal,-0.1506,False,
Node_10,2026-05-21 08:15:13,28,93.04,0.042,-60.4,17.2,normal,-0.1477,False,
Node_9,2026-05-21 08:15:13,24,68.92,0.325,-70.4,225.8,packet_loss,0.0011,True,Node_9 yüksek iletim gecikmesi nedeniyle paket kaybı riski taşıyor.
Node_8,2026-05-21 08:15:13,35,79.31,0.065,-63.6,16.5,normal,-0.1743,False,
Node_7,2026-05-21 08:15:13,33,68.24,0.064,-68.7,20.2,node_silence,-0.1501,True,Node_7 uzun süre veri göndermediği için sessizlik anomalisi oluştu.
Node_6,2026-05-21 08:15:13,5,20.75,0.915,-73.8,478.3,node_failure,0.103,True,Node_6 düğüm arızası olasılığı nedeniyle riskli olarak işaretlendi.
Node_4,2026-05-21 08:15:13,35,89.21,0.075,-46.5,17.6,normal,-0.1385,False,
Node_3,2026-05-21 08:15:13,45,87.16,0.072,-47.7,18.3,normal,-0.1399,False,
Node_2,2026-05-21 08:15:13,34,80.63,0.021,-56.5,19.5,normal,-0.1797,False,
Node_1,2026-05-21 08:15:13,26,75.76,0.031,-62.9,17.7,normal,-0.1916,False,
Node_5,2026-05-21 08:15:13,29,90.08,0.041,-54.1,15.5,normal,-0.1591,False,
Node_7,2026-05-21 08:15:33,32,68.17,0.026,-50.6,7.8,normal,-0.1862,False,
Node_10,2026-05-21 08:15:33,44,92.81,0.014,-47.6,15.7,normal,-0.098,False,
Node_9,2026-05-21 08:15:33,11,68.86,0.171,-73.0,249.6,packet_loss,0.0183,True,Node_9 yüksek iletim gecikmesi nedeniyle paket kaybı riski taşıyor.
Node_8,2026-05-21 08:15:33,35,79.24,0.063,-63.8,18.2,normal,-0.1751,False,
Node_6,2026-05-21 08:15:33,36,68.18,0.045,-55.2,8.6,normal,-0.1924,False,
Node_2,2026-05-21 08:15:33,33,80.5,0.444,-54.1,68.7,communication_error,-0.0098,True,Node_2 yüksek hata oranı nedeniyle iletişim problemi olarak işaretlendi.
Node_4,2026-05-21 08:15:33,41,88.96,0.056,-64.3,23.4,normal,-0.1303,False,
Node_1,2026-05-21 08:15:33,29,75.6,0.069,-64.6,17.9,normal,-0.1784,False,
Node_5,2026-05-21 08:15:33,18,6.53,0.032,-58.7,29.3,energy_drop,-0.0978,True,Node_5 pil seviyesinde ani düşüş olduğu için enerji anomalisi tespit edildi.
Node_3,2026-05-21 08:15:33,269,87.04,0.081,-70.6,21.5,suspicious_activity,0.0344,True,Node_3 normalden fazla veri gönderdiği için şüpheli aktivite olarak işaretlendi.
Node_1,2026-05-21 08:15:53,21,75.45,0.026,-49.6,16.3,normal,-0.1864,False,
Node_2,2026-05-21 08:15:53,12,80.41,0.724,-77.8,64.4,communication_error,0.0534,True,Node_2 yüksek hata oranı nedeniyle iletişim problemi olarak işaretlendi.
Node_3,2026-05-21 08:15:53,25,86.8,0.058,-53.1,10.0,normal,-0.1758,False,
Node_4,2026-05-21 08:15:53,19,88.84,0.075,-55.5,6.7,normal,-0.1327,False,
Node_5,2026-05-21 08:15:53,14,11.96,0.076,-59.5,22.0,energy_drop,-0.0915,True,Node_5 pil seviyesinde ani düşüş olduğu için enerji anomalisi tespit edildi.
Node_6,2026-05-21 08:15:53,3,12.43,0.857,-77.6,347.9,node_failure,0.0684,True,Node_6 düğüm arızası olasılığı nedeniyle riskli olarak işaretlendi.
Node_7,2026-05-21 08:15:53,33,68.06,0.035,-66.8,14.0,node_silence,-0.1696,True,Node_7 uzun süre veri göndermediği için sessizlik anomalisi oluştu.
Node_8,2026-05-21 08:15:53,38,79.09,0.072,-60.5,16.0,normal,-0.1749,False,
Node_9,2026-05-21 08:15:53,15,68.67,0.249,-58.0,207.6,packet_loss,-0.0258,True,Node_9 yüksek iletim gecikmesi nedeniyle paket kaybı riski taşıyor.
Node_10,2026-05-21 08:15:53,28,92.71,0.015,-57.7,17.5,normal,-0.1276,False,
Node_10,2026-05-21 08:16:13,16,92.64,0.057,-55.5,10.9,normal,-0.1182,False,
Node_9,2026-05-21 08:16:13,23,68.55,0.154,-65.3,262.7,packet_loss,-0.0123,True,Node_9 yüksek iletim gecikmesi nedeniyle paket kaybı riski taşıyor.
Node_8,2026-05-21 08:16:13,31,78.89,0.077,-58.8,9.5,normal,-0.172,False,
Node_6,2026-05-21 08:16:13,26,67.73,0.018,-46.9,7.9,normal,-0.1598,False,
Node_7,2026-05-21 08:16:13,19,67.99,0.024,-58.7,19.4,normal,-0.1929,False,
Node_4,2026-05-21 08:16:13,38,88.7,0.075,-56.9,24.2,normal,-0.147,False,
Node_3,2026-05-21 08:16:13,19,86.55,0.042,-53.3,7.6,normal,-0.1546,False,
Node_2,2026-05-21 08:16:13,29,80.24,0.742,-66.9,78.5,communication_error,0.0363,True,Node_2 yüksek hata oranı nedeniyle iletişim problemi olarak işaretlendi.
Node_1,2026-05-21 08:16:13,25,75.22,0.077,-46.4,6.2,normal,-0.1347,False,
Node_5,2026-05-21 08:16:13,21,8.41,0.021,-51.7,44.2,energy_drop,-0.0639,True,Node_5 pil seviyesinde ani düşüş olduğu için enerji anomalisi tespit edildi.
Node_10,2026-05-21 08:16:33,26,92.57,0.018,-46.4,13.7,normal,-0.1027,False,
Node_9,2026-05-21 08:16:33,16,68.36,0.21,-62.9,267.5,packet_loss,0.0006,True,Node_9 yüksek iletim gecikmesi nedeniyle paket kaybı riski taşıyor.
Node_8,2026-05-21 08:16:33,42,78.8,0.02,-58.8,13.5,normal,-0.1635,False,
Node_7,2026-05-21 08:16:33,23,67.91,0.032,-61.5,15.4,node_silence,-0.2033,True,Node_7 uzun süre veri göndermediği için sessizlik anomalisi oluştu.
Node_6,2026-05-21 08:16:33,1,18.2,0.671,-64.6,229.7,node_failure,0.0335,True,Node_6 düğüm arızası olasılığı nedeniyle riskli olarak işaretlendi.
Node_5,2026-05-21 08:16:33,30,11.44,0.039,-78.2,38.7,energy_drop,-0.0113,True,Node_5 pil seviyesinde ani düşüş olduğu için enerji anomalisi tespit edildi.
Node_3,2026-05-21 08:16:33,26,86.47,0.073,-60.3,20.3,normal,-0.1771,False,
Node_2,2026-05-21 08:16:33,14,80.06,0.745,-50.4,36.0,communication_error,0.037,True,Node_2 yüksek hata oranı nedeniyle iletişim problemi olarak işaretlendi.
Node_1,2026-05-21 08:16:33,27,75.02,0.033,-48.1,13.5,normal,-0.1832,False,
Node_4,2026-05-21 08:16:33,38,88.46,0.072,-45.1,18.4,normal,-0.1061,False,
Node_8,2026-05-21 08:16:53,17,78.69,0.063,-51.7,7.5,normal,-0.1577,False,
Node_10,2026-05-21 08:16:53,26,92.42,0.032,-46.8,14.8,normal,-0.1231,False,
Node_9,2026-05-21 08:16:53,11,68.19,0.213,-54.8,142.8,packet_loss,-0.0355,True,Node_9 yüksek iletim gecikmesi nedeniyle paket kaybı riski taşıyor.
Node_5,2026-05-21 08:16:53,15,14.83,0.043,-62.3,41.1,energy_drop,-0.0863,True,Node_5 pil seviyesinde ani düşüş olduğu için enerji anomalisi tespit edildi.
Node_7,2026-05-21 08:16:53,36,67.67,0.05,-59.8,17.6,node_silence,-0.2,True,Node_7 uzun süre veri göndermediği için sessizlik anomalisi oluştu.
Node_6,2026-05-21 08:16:53,39,67.35,0.026,-61.7,12.1,normal,-0.1856,False,
Node_1,2026-05-21 08:16:53,36,74.91,0.033,-50.4,13.2,normal,-0.1892,False,
Node_2,2026-05-21 08:16:53,35,79.95,0.063,-51.1,24.9,normal,-0.177,False,
Node_4,2026-05-21 08:16:53,22,88.37,0.033,-54.6,17.7,normal,-0.1746,False,
Node_3,2026-05-21 08:16:53,316,86.22,0.088,-63.5,19.8,suspicious_activity,0.0313,True,Node_3 normalden fazla veri gönderdiği için şüpheli aktivite olarak işaretlendi.
Node_1,2026-05-21 08:17:13,37,74.74,0.076,-48.0,10.2,normal,-0.1663,False,
Node_2,2026-05-21 08:17:13,20,79.83,0.038,-51.0,7.7,normal,-0.1667,False,
Node_3,2026-05-21 08:17:13,305,86.1,0.144,-76.6,16.9,suspicious_activity,0.0844,True,Node_3 normalden fazla veri gönderdiği için şüpheli aktivite olarak işaretlendi.
Node_4,2026-05-21 08:17:13,37,88.28,0.037,-47.6,10.8,normal,-0.1533,False,
Node_6,2026-05-21 08:17:13,19,67.23,0.016,-58.4,18.4,normal,-0.1876,False,
Node_7,2026-05-21 08:17:13,39,67.42,0.021,-73.0,29.8,node_silence,-0.0993,True,Node_7 uzun süre veri göndermediği için sessizlik anomalisi oluştu.
Node_8,2026-05-21 08:17:13,21,78.47,0.074,-57.4,14.6,normal,-0.1792,False,
Node_9,2026-05-21 08:17:13,17,68.09,0.07,-62.1,21.9,normal,-0.1896,False,
Node_10,2026-05-21 08:17:13,44,92.26,0.057,-54.1,7.7,normal,-0.1221,False,
Node_5,2026-05-21 08:17:13,15,89.32,0.049,-51.8,6.8,normal,-0.1229,False,
Node_10,2026-05-21 08:17:33,17,92.21,0.014,-63.6,13.0,normal,-0.0903,False,
Node_6,2026-05-21 08:17:33,3,25.96,0.604,-73.5,221.8,node_failure,0.0127,True,Node_6 düğüm arızası olasılığı nedeniyle riskli olarak işaretlendi.
Node_9,2026-05-21 08:17:33,18,67.97,0.282,-79.4,245.5,packet_loss,0.026,True,Node_9 yüksek iletim gecikmesi nedeniyle paket kaybı riski taşıyor.
Node_8,2026-05-21 08:17:33,39,78.24,0.038,-57.4,15.5,normal,-0.1794,False,
Node_7,2026-05-21 08:17:33,16,67.33,0.01,-49.7,18.4,normal,-0.1565,False,
